Data ora solare	Temperatura_Media_Aria_[°C]	Umidità_relativa_media_[%]	Pressione_atmosferica_Media_al_livello_della_stazione_[hPa]
2016/01/04 17:00	9.4	91.0	994.0
2016/01/04 17:30	8.9	93.5	994.0
2016/01/04 18:00	8.6	94.0	994.0
2016/01/04 18:30	7.9	94.5	994.0
2016/01/04 19:00	7.9	95.5	994.0
2016/01/04 19:30	7.5	96.0	995.0
2016/01/04 20:00	7.0	97.5	994.5
2016/01/04 20:30	6.7	98.0	995.0
2016/01/04 21:00	6.6	99.0	995.0
2016/01/04 21:30	6.5	99.0	995.0
2016/01/04 22:00	5.8	99.0	995.0
2016/01/04 22:30	5.5	99.5	995.0
2016/01/04 23:00	5.6	100.0	996.0
2016/01/04 23:30	5.5	100.0	996.0
2016/01/05 00:00	5.5	100.0	996.0
2016/01/05 00:30	5.8	100.0	996.0
2016/01/05 01:00	5.8	100.0	996.0
2016/01/05 01:30	6.0	100.0	996.0
2016/01/05 02:00	6.0	100.0	996.0
2016/01/05 02:30	6.3	100.0	996.0
2016/01/05 03:00	6.4	100.0	996.0
2016/01/05 03:30	6.4	100.0	996.0
2016/01/05 04:00	6.8	100.0	996.0
2016/01/05 04:30	7.0	100.0	995.0
2016/01/05 05:00	6.8	100.0	995.0
2016/01/05 05:30	6.8	100.0	995.0
2016/01/05 06:00	7.1	100.0	995.0
2016/01/05 06:30	7.5	99.0	995.5
2016/01/05 07:00	7.9	99.0	996.0
2016/01/05 07:30	8.4	99.0	996.0
2016/01/05 08:00	7.5	99.0	996.0
2016/01/05 08:30	7.7	99.0	996.0
2016/01/05 09:00	7.7	99.0	996.0
2016/01/05 09:30	7.8	99.0	996.0
2016/01/05 10:00	7.9	99.0	996.0
2016/01/05 10:30	8.6	99.0	997.0
2016/01/05 11:00	8.5	99.0	997.0
2016/01/05 11:30	8.8	98.0	997.0
2016/01/05 12:00	8.9	98.0	997.0
2016/01/05 12:30	9.1	98.0	996.5
2016/01/05 13:00	9.1	98.0	996.0
2016/01/05 13:30	9.4	98.0	996.0
2016/01/05 14:00	10.1	98.0	995.0
2016/01/05 14:30	10.4	98.0	995.0
2016/01/05 15:00	10.5	97.0	995.5
2016/01/05 15:30	10.9	96.5	996.0
2016/01/05 16:00	11.0	94.5	996.0
2016/01/05 16:30	11.1	93.0	996.0
2016/01/05 17:00	10.9	93.5	996.0
2016/01/05 17:30	10.7	95.0	996.0
2016/01/05 18:00	10.1	96.0	996.5
2016/01/05 18:30	9.3	97.5	997.0
2016/01/05 19:00	9.2	98.0	997.0
2016/01/05 19:30	8.8	98.0	997.0
2016/01/05 20:00	9.2	98.0	997.0
2016/01/05 20:30	9.1	98.0	997.5
2016/01/05 21:00	8.9	98.0	998.0
2016/01/05 21:30	8.9	97.0	998.0
2016/01/05 22:00	8.4	98.0	998.0
2016/01/05 22:30	7.9	98.0	998.0
2016/01/05 23:00	7.4	99.0	998.0
2016/01/05 23:30	7.3	99.0	998.0
2016/01/06 00:00	7.2	99.0	998.0
2016/01/06 00:30	7.2	100.0	998.0
2016/01/06 01:00	7.3	100.0	998.0
2016/01/06 01:30	7.6	100.0	997.5
2016/01/06 02:00	7.8	100.0	997.0
2016/01/06 02:30	8.0	100.0	997.0
2016/01/06 03:00	8.0	99.5	997.0
2016/01/06 03:30	7.9	99.0	997.0
2016/01/06 04:00	8.0	99.0	997.0
2016/01/06 04:30	7.8	99.0	997.0
2016/01/06 05:00	7.8	99.0	996.0
2016/01/06 05:30	7.7	99.0	996.0
2016/01/06 06:00	7.8	99.0	996.5
2016/01/06 06:30	7.8	99.0	996.0
2016/01/06 07:00	7.7	99.0	996.0
2016/01/06 07:30	7.5	99.0	996.0
2016/01/06 08:00	7.5	99.0	996.0
2016/01/06 08:30	7.5	99.0	996.0
2016/01/06 09:00	7.6	99.5	996.0
2016/01/06 09:30	7.5	99.0	996.0
2016/01/06 10:00	7.5	100.0	996.5
2016/01/06 10:30	7.2	99.5	996.5
2016/01/06 11:00	7.0	95.5	997.0
2016/01/06 11:30	7.0	93.5	997.0
2016/01/06 12:00	7.4	94.0	997.0
2016/01/06 12:30	7.7	93.0	997.0
2016/01/06 13:00	7.7	92.0	997.0
2016/01/06 13:30	7.7	92.0	997.0
2016/01/06 14:00	8.0	90.0	997.0
2016/01/06 14:30	8.0	89.5	997.0
2016/01/06 15:00	8.2	88.5	997.0
2016/01/06 15:30	8.4	86.5	997.0
2016/01/06 16:00	8.1	87.0	997.0
2016/01/06 16:30	8.0	89.0	997.0
2016/01/06 17:00	7.8	88.5	997.5
2016/01/06 17:30	7.7	86.0	997.0
2016/01/06 18:00	7.4	86.0	997.0
2016/01/06 18:30	7.2	88.5	997.0
2016/01/06 19:00	7.3	89.0	997.0
2016/01/06 19:30	7.1	90.5	997.0
2016/01/06 20:00	7.0	91.0	998.0
2016/01/06 20:30	7.1	91.5	998.0
2016/01/06 21:00	6.9	91.5	998.0
2016/01/06 21:30	6.6	93.5	998.0
2016/01/06 22:00	6.7	94.0	999.0
2016/01/06 22:30	6.3	94.0	999.0
2016/01/06 23:00	6.0	95.0	999.0
2016/01/06 23:30	5.8	96.0	999.0
2016/01/07 00:00	5.4	96.5	999.0
2016/01/07 00:30	6.1	95.5	999.0
2016/01/07 01:00	6.2	95.0	999.0
2016/01/07 01:30	5.9	96.0	999.0
2016/01/07 02:00	5.8	96.0	999.5
2016/01/07 02:30	5.8	96.5	1000.0
2016/01/07 03:00	5.1	96.5	1000.0
2016/01/07 03:30	4.5	97.5	1000.0
2016/01/07 04:00	4.8	98.5	1001.0
2016/01/07 04:30	5.0	99.0	1001.0
2016/01/07 05:00	5.2	98.5	1001.0
2016/01/07 05:30	5.3	98.0	1001.0
2016/01/07 06:00	5.2	98.0	1001.5
2016/01/07 06:30	5.3	98.0	1002.0
2016/01/07 07:00	4.9	98.0	1002.0
2016/01/07 07:30	4.6	98.0	1002.0
2016/01/07 08:00	4.3	98.0	1002.0
2016/01/07 08:30	4.3	99.0	1003.0
2016/01/07 09:00	4.7	98.5	1003.0
2016/01/07 09:30	5.2	96.5	1003.0
2016/01/07 10:00	5.8	94.5	1003.5
2016/01/07 10:30	6.3	91.5	1004.0
2016/01/07 11:00	7.2	87.5	1003.0
2016/01/07 11:30	7.1	86.0	1003.0
2016/01/07 12:00	7.4	86.0	1002.5
2016/01/07 12:30	7.5	87.5	1002.0
2016/01/07 13:00	7.6	86.5	1002.0
2016/01/07 13:30	8.2	84.0	1002.0
2016/01/07 14:00	8.5	83.0	1001.0
2016/01/07 14:30	8.8	81.0	1001.0
2016/01/07 15:00	8.7	85.0	1000.5
2016/01/07 15:30	8.4	89.5	1001.0
2016/01/07 16:00	8.3	93.5	1001.0
2016/01/07 16:30	8.6	94.5	1001.0
2016/01/07 17:00	8.7	95.5	1001.0
2016/01/07 17:30	8.8	96.0	1001.0
2016/01/07 18:00	8.7	97.0	1001.0
2016/01/07 18:30	8.7	97.0	1001.0
2016/01/07 19:00	8.6	98.0	1001.0
2016/01/07 19:30	8.6	97.0	1001.0
2016/01/07 20:00	8.8	97.0	1001.0
2016/01/07 20:30	8.9	97.0	1001.0
2016/01/07 21:00	8.6	97.5	1001.0
2016/01/07 21:30	8.0	98.0	1001.0
2016/01/07 22:00	7.8	99.0	1001.5
2016/01/07 22:30	7.7	99.0	1002.0
2016/01/07 23:00	7.8	99.0	1002.0
2016/01/07 23:30	7.8	99.0	1002.0
2016/01/08 00:00	7.8	99.0	1002.0
2016/01/08 00:30	7.9	99.0	1002.5
2016/01/08 01:00	8.0	99.0	1002.5
2016/01/08 01:30	7.9	99.0	1002.0
2016/01/08 02:00	8.0	99.0	1002.0
2016/01/08 02:30	8.0	99.0	1002.0
2016/01/08 03:00	8.1	99.0	1002.5
2016/01/08 03:30	8.1	99.0	1003.0
2016/01/08 04:00	8.1	99.0	1003.5
2016/01/08 04:30	8.1	99.0	1003.0
2016/01/08 05:00	8.0	99.0	1003.0
2016/01/08 05:30	8.0	99.0	1004.0
2016/01/08 06:00	7.8	99.0	1003.5
2016/01/08 06:30	7.9	99.0	1004.0
2016/01/08 07:00	8.0	100.0	1004.0
2016/01/08 07:30	7.8	100.0	1004.0
2016/01/08 08:00	7.8	100.0	1005.0
2016/01/08 08:30	7.8	100.0	1005.0
2016/01/08 09:00	7.9	100.0	1005.0
2016/01/08 09:30	8.1	100.0	1005.0
2016/01/08 10:00	8.3	100.0	1005.0
2016/01/08 10:30	8.4	100.0	1005.5
2016/01/08 11:00	8.6	99.5	1006.0
2016/01/08 11:30	8.7	99.0	1006.0
2016/01/08 12:00	9.0	99.0	1005.0
2016/01/08 12:30	9.1	99.0	1005.0
2016/01/08 13:00	9.3	98.5	1005.0
2016/01/08 13:30	9.4	98.0	1005.0
2016/01/08 14:00	9.4	98.0	1005.0
2016/01/08 14:30	9.6	98.0	1005.0
2016/01/08 15:00	9.6	98.0	1005.0
2016/01/08 15:30	9.7	98.0	1005.0
2016/01/08 16:00	9.8	98.0	1005.0
2016/01/08 16:30	9.8	98.0	1005.0
2016/01/08 17:00	9.8	98.0	1005.0
2016/01/08 17:30	9.7	98.0	1006.0
2016/01/08 18:00	9.8	98.0	1005.0
2016/01/08 18:30	9.8	98.0	1005.5
2016/01/08 19:00	9.8	98.0	1006.0
2016/01/08 19:30	9.9	98.0	1006.0
2016/01/08 20:00	9.9	98.0	1006.0
2016/01/08 20:30	9.8	98.0	1006.0
2016/01/08 21:00	9.7	98.0	1006.0
2016/01/08 21:30	9.7	98.0	1006.0
2016/01/08 22:00	9.6	98.0	1006.0
2016/01/08 22:30	9.6	98.5	1006.0
2016/01/08 23:00	9.5	99.0	1006.0
2016/01/08 23:30	9.6	99.0	1006.0
2016/01/09 00:00	9.6	99.0	1006.0
2016/01/09 00:30	9.8	99.0	1006.0
2016/01/09 01:00	9.7	99.0	1006.0
2016/01/09 01:30	9.5	99.0	1006.0
2016/01/09 02:00	9.4	99.0	1006.0
2016/01/09 02:30	9.3	99.0	1006.0
2016/01/09 03:00	9.2	99.0	1005.5
2016/01/09 03:30	9.1	99.0	1005.5
2016/01/09 04:00	8.8	99.0	1006.0
2016/01/09 04:30	8.6	99.0	1005.0
2016/01/09 05:00	8.4	99.0	1005.0
2016/01/09 05:30	8.2	99.0	1005.0
2016/01/09 06:00	8.2	99.0	1005.0
2016/01/09 06:30	8.4	99.0	1005.0
2016/01/09 07:00	8.6	99.0	1005.0
2016/01/09 07:30	8.4	99.5	1005.0
2016/01/09 08:00	8.4	100.0	1005.0
2016/01/09 08:30	8.8	99.0	1005.0
2016/01/09 09:00	9.1	99.0	1005.0
2016/01/09 09:30	9.1	99.0	1005.0
2016/01/09 10:00	9.2	99.0	1005.5
2016/01/09 10:30	9.4	99.0	1006.0
2016/01/09 11:00	9.9	99.0	1005.0
2016/01/09 11:30	10.4	99.0	1005.0
2016/01/09 12:00	10.7	99.0	1005.0
2016/01/09 12:30	11.1	98.0	1005.0
2016/01/09 13:00	12.8	98.0	1004.0
2016/01/09 13:30	15.4	82.0	1004.0
2016/01/09 14:00	15.4	80.5	1003.0
2016/01/09 14:30	15.3	85.0	1003.0
2016/01/09 15:00	14.7	87.5	1003.0
2016/01/09 15:30	14.2	88.5	1003.0
2016/01/09 16:00	13.9	90.0	1003.0
2016/01/09 16:30	13.8	90.5	1003.0
2016/01/09 17:00	13.7	91.0	1003.0
2016/01/09 17:30	13.6	88.5	1002.5
2016/01/09 18:00	13.7	83.5	1002.0
2016/01/09 18:30	13.9	81.0	1002.0
2016/01/09 19:00	14.1	78.5	1002.0
2016/01/09 19:30	14.1	79.0	1002.0
2016/01/09 20:00	14.2	78.5	1002.0
2016/01/09 20:30	14.1	80.0	1002.0
2016/01/09 21:00	13.7	86.0	1002.0
2016/01/09 21:30	13.4	89.0	1002.0
2016/01/09 22:00	13.4	89.0	1002.0
2016/01/09 22:30	13.4	89.0	1002.0
2016/01/09 23:00	13.4	90.0	1002.0
2016/01/09 23:30	13.2	91.5	1002.0
2016/01/10 00:00	13.1	93.5	1002.0
2016/01/10 00:30	13.1	94.0	1002.0
2016/01/10 01:00	13.2	94.0	1002.0
2016/01/10 01:30	13.1	95.0	1001.0
2016/01/10 02:00	13.1	95.0	1001.0
2016/01/10 02:30	13.1	93.5	1001.0
2016/01/10 03:00	13.1	93.0	1001.0
2016/01/10 03:30	13.3	92.0	1001.0
2016/01/10 04:00	13.4	91.5	1001.0
2016/01/10 04:30	13.6	90.0	1000.5
2016/01/10 05:00	13.8	89.0	1000.0
2016/01/10 05:30	13.8	89.5	1000.0
2016/01/10 06:00	13.5	90.0	1001.0
2016/01/10 06:30	13.1	92.5	1001.0
2016/01/10 07:00	13.2	89.0	1001.5
2016/01/10 07:30	13.1	88.5	1002.0
2016/01/10 08:00	12.9	89.5	1002.0
2016/01/10 08:30	13.1	88.5	1002.0
2016/01/10 09:00	13.3	87.5	1002.0
2016/01/10 09:30	13.3	87.5	1002.5
2016/01/10 10:00	13.7	86.5	1003.0
2016/01/10 10:30	14.4	84.0	1003.0
2016/01/10 11:00	15.2	76.5	1003.0
2016/01/10 11:30	15.4	75.0	1003.0
2016/01/10 12:00	15.9	73.5	1003.0
2016/01/10 12:30	15.9	71.5	1003.0
2016/01/10 13:00	16.2	70.0	1003.0
2016/01/10 13:30	16.2	68.5	1003.0
2016/01/10 14:00	16.4	66.0	1002.0
2016/01/10 14:30	16.1	65.5	1002.0
2016/01/10 15:00	16.4	65.5	1002.0
2016/01/10 15:30	15.9	67.5	1002.0
2016/01/10 16:00	15.3	73.0	1002.5
2016/01/10 16:30	15.1	73.5	1002.5
2016/01/10 17:00	15.2	68.5	1003.0
2016/01/10 17:30	15.2	62.0	1003.0
2016/01/10 18:00	15.1	60.5	1003.0
2016/01/10 18:30	14.2	63.0	1003.0
2016/01/10 19:00	13.9	62.5	1003.0
2016/01/10 19:30	14.1	61.5	1003.0
2016/01/10 20:00	13.9	61.0	1003.5
2016/01/10 20:30	14.1	61.0	1003.0
2016/01/10 21:00	12.8	64.5	1003.5
2016/01/10 21:30	12.6	66.5	1004.0
2016/01/10 22:00	11.9	72.5	1004.0
2016/01/10 22:30	12.4	75.0	1004.0
2016/01/10 23:00	12.2	77.0	1003.0
2016/01/10 23:30	12.1	79.0	1003.0
2016/01/11 00:00	11.3	81.5	1003.5
2016/01/11 00:30	10.7	83.5	1003.0
2016/01/11 01:00	10.2	88.5	1003.0
2016/01/11 01:30	10.4	87.0	1003.0
2016/01/11 02:00	11.7	81.0	1003.0
2016/01/11 02:30	11.9	81.0	1003.0
2016/01/11 03:00	12.1	81.5	1003.0
2016/01/11 03:30	11.9	81.5	1002.0
2016/01/11 04:00	12.3	80.0	1002.0
2016/01/11 04:30	13.1	77.0	1002.0
2016/01/11 05:00	13.1	77.0	1001.0
2016/01/11 05:30	13.4	75.5	1001.0
2016/01/11 06:00	13.6	74.5	1001.0
2016/01/11 06:30	13.9	74.0	1000.5
2016/01/11 07:00	13.9	73.5	1000.0
2016/01/11 07:30	13.9	74.0	1000.0
2016/01/11 08:00	13.9	74.0	1000.0
2016/01/11 08:30	14.0	74.0	999.5
2016/01/11 09:00	14.2	74.0	999.0
2016/01/11 09:30	14.4	73.0	999.5
2016/01/11 10:00	14.5	73.0	1000.0
2016/01/11 10:30	15.0	70.5	999.0
2016/01/11 11:00	15.6	67.5	999.0
2016/01/11 11:30	16.1	65.5	998.5
2016/01/11 12:00	16.6	63.5	998.0
2016/01/11 12:30	16.6	66.0	997.0
2016/01/11 13:00	16.1	67.5	997.0
2016/01/11 13:30	15.9	69.5	997.0
2016/01/11 14:00	15.0	78.0	996.5
2016/01/11 14:30	14.1	86.0	996.0
2016/01/11 15:00	13.9	87.5	995.0
2016/01/11 15:30	14.0	86.0	995.0
2016/01/11 16:00	14.3	81.5	995.0
2016/01/11 16:30	14.8	76.0	995.5
2016/01/11 17:00	14.5	76.5	996.0
2016/01/11 17:30	13.6	81.0	996.0
2016/01/11 18:00	13.4	79.5	996.0
2016/01/11 18:30	13.4	74.0	996.0
2016/01/11 19:00	13.4	67.5	996.0
2016/01/11 19:30	13.3	62.5	995.0
2016/01/11 20:00	12.9	62.0	995.5
2016/01/11 20:30	12.9	60.5	996.0
2016/01/11 21:00	13.1	58.0	997.0
2016/01/11 21:30	12.9	59.5	997.0
2016/01/11 22:00	12.7	61.0	997.0
2016/01/11 22:30	12.6	62.0	998.0
2016/01/11 23:00	12.7	63.0	998.0
2016/01/11 23:30	12.6	62.5	999.0
2016/01/12 00:00	12.4	61.5	999.0
2016/01/12 00:30	12.2	63.0	999.0
2016/01/12 01:00	12.1	63.5	999.0
2016/01/12 01:30	11.9	61.0	1000.0
2016/01/12 02:00	11.9	59.5	1000.0
2016/01/12 02:30	11.4	62.5	1001.0
2016/01/12 03:00	10.9	64.5	1001.0
2016/01/12 03:30	11.3	61.5	1001.0
2016/01/12 04:00	11.5	60.0	1001.0
2016/01/12 04:30	11.6	62.5	1001.0
2016/01/12 05:00	11.6	62.0	1001.0
2016/01/12 05:30	11.6	60.5	1000.0
2016/01/12 06:00	11.5	59.0	1000.0
2016/01/12 06:30	11.1	59.0	1000.0
2016/01/12 07:00	11.0	59.0	1000.0
2016/01/12 07:30	10.9	58.5	1000.0
2016/01/12 08:00	11.7	53.5	1000.0
2016/01/12 08:30	12.1	51.5	1001.0
2016/01/12 09:00	12.3	51.5	1001.0
2016/01/12 09:30	13.2	49.5	1001.0
2016/01/12 10:00	13.6	48.0	1001.5
2016/01/12 10:30	13.2	49.5	1002.0
2016/01/12 11:00	13.1	51.0	1002.0
2016/01/12 11:30	13.2	52.0	1002.5
2016/01/12 12:00	14.0	52.0	1002.0
2016/01/12 12:30	14.2	51.0	1002.0
2016/01/12 13:00	14.4	52.0	1002.0
2016/01/12 13:30	14.2	54.5	1003.0
2016/01/12 14:00	14.2	54.0	1003.0
2016/01/12 14:30	13.4	58.0	1003.0
2016/01/12 15:00	13.1	60.5	1003.0
2016/01/12 15:30	12.9	61.0	1003.0
2016/01/12 16:00	12.5	62.5	1003.5
2016/01/12 16:30	12.4	63.0	1004.0
2016/01/12 17:00	12.2	63.0	1004.0
2016/01/12 17:30	11.6	64.5	1004.0
2016/01/12 18:00	11.5	65.5	1005.0
2016/01/12 18:30	10.4	69.0	1005.0
2016/01/12 19:00	10.6	69.5	1005.0
2016/01/12 19:30	10.4	69.0	1005.5
2016/01/12 20:00	9.3	75.0	1006.0
2016/01/12 20:30	10.4	72.0	1006.0
2016/01/12 21:00	10.8	70.5	1006.0
2016/01/12 21:30	11.1	68.5	1006.0
2016/01/12 22:00	10.3	70.5	1006.0
2016/01/12 22:30	10.6	69.0	1006.0
2016/01/12 23:00	11.0	66.0	1006.0
2016/01/12 23:30	11.1	63.0	1006.0
2016/01/13 00:00	10.4	64.0	1006.0
2016/01/13 00:30	9.9	67.0	1006.0
2016/01/13 01:00	9.9	67.5	1006.0
2016/01/13 01:30	9.9	68.0	1006.0
2016/01/13 02:00	10.2	65.5	1006.0
2016/01/13 02:30	10.4	65.5	1006.0
2016/01/13 03:00	10.3	66.0	1007.0
2016/01/13 03:30	10.4	64.5	1007.0
2016/01/13 04:00	9.9	68.5	1006.5
